,date,month_variation,cummulative_variation
0,2017-01-01,"0,38","0,38"
1,2017-02-01,"0,33","0,71"
2,2017-03-01,"0,25","0,96"
3,2017-04-01,"0,14","1,1"
4,2017-05-01,"0,31","1,42"
5,2017-06-01,"-0,23","1,18"
6,2017-07-01,"0,24","1,43"
7,2017-08-01,"0,19","1,62"
8,2017-09-01,"0,16","1,78"
9,2017-10-01,"0,42","2,21"
10,2017-11-01,"0,28","2,5"
11,2017-12-01,"0,44","2,95"
12,2018-01-01,"0,29","0,29"
13,2018-02-01,"0,32","0,61"
14,2018-03-01,"0,09","0,7"
15,2018-04-01,"0,22","0,92"
16,2018-05-01,"0,4","1,33"
17,2018-06-01,"1,26","2,6"
18,2018-07-01,"0,33","2,94"
19,2018-08-01,"-0,09","2,85"
20,2018-09-01,"0,48","3,34"
21,2018-10-01,"0,45","3,81"
22,2018-11-01,"-0,21","3,59"
23,2018-12-01,"0,15","3,75"
